"","n","mean","sd","median","trimmed","range","skew","kurtosis","se","IRT_difficulty","Chisq","df","p_value","outfitMSQ","infitMSQ","outfitZ","infitZ"
"SE_22b",38,0.868421052631579,0.342569987450104,1,0.9375,1,-2.09432101418459,2.45278687148493,0.0555721902009034,-1.88706964903238,33.4823223671564,36,0.58892862497604,0.904927631544767,0.900452183728778,-0.0613103145129532,-0.166697907072778
"SE_22c",39,0.41025641025641,0.49831023511298,0,0.393939393939394,1,0.350955954328456,-1.92421318926336,0.0797934979708204,0.362905493689368,40.0075945553616,38,0.381101544569371,1.02583575782978,1.04823763929408,0.213930041504924,0.437562748007371
"SE_24a",40,0.075,0.266746782836918,0,0,1,3.10687908279919,7.85082770270271,0.0421763696143487,2.51230562397611,26.143797004041,37,0.908644714061107,0.687994658001078,0.88336440225337,-0.402694865303383,-0.110458345115605
"SE_25a",40,0.125,0.334932063528542,0,0.03125,1,2.18327857982962,2.83955357142857,0.0529574091085202,1.94591014905531,37.555274155545,39,0.535791755116646,0.938881853888624,1.01326524736143,-0.00173799722889181,0.148034929066518
"SE_31b",40,0.725,0.452202586776303,1,0.78125,1,-0.970250973413919,-1.08384992163009,0.0714995069016527,-0.969400557188103,40.9109670861246,39,0.386592160126171,1.02277417715311,1.02123398023316,0.177996907126713,0.186091810963252
"SE_3c",39,0.307692307692308,0.467571900119518,0,0.272727272727273,1,0.801488394791766,-1.39133610928483,0.074871425137275,0.810930216216329,39.5774283714232,36,0.313328231509614,1.06966022625468,1.05768390738662,0.402037890336716,0.440056761938525
"SE_45",39,0.102564102564103,0.307354740604728,0,0.0303030303030303,1,2.5198585363425,4.4661594815441,0.0492161471762766,2.16905370036952,41.4813030055836,36,0.243982032416202,1.12111629744821,0.958937268100811,0.394176659056435,0.00943349511001645
"SE_46",40,0.4,0.496138938356834,0,0.375,1,0.393035065229554,-1.8909375,0.0784464540552736,0.405465108108164,37.7580066680471,39,0.526459182237479,0.943950166701178,0.959854180882467,-0.44355367685296,-0.350378221272104
"SE_47b",40,0.4,0.496138938356834,0,0.375,1,0.393035065229554,-1.8909375,0.0784464540552736,0.405465108108164,39.0277677943211,38,0.423384296047227,1.00071199472618,1.01707396388199,0.0501066854842347,0.195099634766978
"SE_48",40,0.425,0.500640615253123,0,0.40625,1,0.292125719616368,-1.96184942455243,0.0791582316693952,0.302280871872934,44.4932375874894,39,0.251523847140405,1.11233093968724,1.12897377852826,1.03994920541216,1.45577405728287
"SE_4a",40,0.35,0.483045891539648,0,0.3125,1,0.605532528322916,-1.67330357142857,0.0763762615825973,0.619039208406224,36.1726903976969,38,0.55416386366865,0.927504881992229,0.965907278099309,-0.346090673465178,-0.229062913894647
